vehicle_id,timestamp,vehicle_type,vehicle_age_years,engine_size_l,vehicle_weight_kg,fuel_type,latitude,longitude,speed_kmph,acceleration_mps2,rpm,gear,throttle_position_pct,brake_pressure_pct,engine_load_pct,road_slope_pct,road_type,traffic_level,ambient_temperature_c,distance_travelled_km,idle_duration_sec,fuel_level_l,fuel_rate_lph,fuel_consumption_l_100km,behavior_label
V001,2026-08-22T08:10:00,Van,1,2.0,3080.2,Diesel,19.028287,72.838495,23.2,0.37,4500.0,1,76.4,0.0,74.5,0.07,Urban,High,28.6,0.006,0,69.48,7.47,32.21,excessive_revving
V001,2026-08-22T08:10:01,Van,1,2.0,3080.2,Diesel,19.028348,72.838544,24.5,0.37,4500.0,1,69.8,0.0,86.4,1.91,Urban,High,28.7,0.013,0,69.48,7.89,32.21,excessive_revving
V001,2026-08-22T08:10:02,Van,1,2.0,3080.2,Diesel,19.028412,72.838595,25.4,0.26,4500.0,1,85.7,0.0,87.1,-0.55,Urban,High,27.5,0.02,0,69.47,8.19,32.21,excessive_revving
V001,2026-08-22T08:10:03,Van,1,2.0,3080.2,Diesel,19.028471,72.838642,23.5,-0.53,4500.0,1,86.1,0.0,73.4,-0.94,Urban,High,29.8,0.027,0,69.47,7.58,32.21,excessive_revving
V001,2026-08-22T08:10:04,Van,1,2.0,3080.2,Diesel,19.02853,72.83869,23.8,0.08,4500.0,1,81.0,0.0,85.3,0.71,Urban,High,28.6,0.033,0,69.47,7.68,32.21,excessive_revving
V001,2026-08-22T08:10:05,Van,1,2.0,3080.2,Diesel,19.028592,72.83874,24.9,0.28,4500.0,1,78.0,0.0,76.9,-1.04,Urban,High,25.7,0.04,0,69.47,8.01,32.21,excessive_revving
V001,2026-08-22T08:10:06,Van,1,2.0,3080.2,Diesel,19.028654,72.838789,24.7,-0.03,4500.0,1,68.2,0.0,81.7,0.45,Urban,High,27.3,0.047,0,69.47,7.97,32.21,excessive_revving
V001,2026-08-22T08:10:07,Van,1,2.0,3080.2,Diesel,19.028719,72.838841,25.7,0.28,4500.0,1,75.6,0.0,70.7,0.49,Urban,High,26.7,0.054,0,69.46,8.29,32.21,excessive_revving
V001,2026-08-22T08:10:08,Van,1,2.0,3080.2,Diesel,19.02878,72.83889,24.6,-0.32,4500.0,1,73.4,0.0,88.4,0.21,Urban,High,31.0,0.061,0,69.46,7.92,32.21,excessive_revving
V001,2026-08-22T08:10:09,Van,1,2.0,3080.2,Diesel,19.028838,72.838937,23.4,-0.34,4500.0,1,77.8,0.0,88.9,2.1,Urban,High,29.0,0.068,0,69.46,7.53,32.21,excessive_revving
V001,2026-08-22T08:10:10,Van,1,2.0,3080.2,Diesel,19.028893,72.838981,22.0,-0.39,4500.0,1,88.6,0.0,83.2,4.02,Urban,High,32.3,0.074,0,69.46,7.08,32.21,excessive_revving
V001,2026-08-22T08:10:11,Van,1,2.0,3080.2,Diesel,19.028947,72.839023,21.4,-0.17,4500.0,1,69.9,0.0,78.6,-0.63,Urban,High,29.1,0.08,0,69.46,6.89,32.21,excessive_revving
V001,2026-08-22T08:10:12,Van,1,2.0,3080.2,Diesel,19.028998,72.839064,20.4,-0.27,4500.0,1,74.6,0.0,83.0,-0.53,Urban,High,27.1,0.085,0,69.45,6.58,32.21,excessive_revving
V001,2026-08-22T08:10:13,Van,1,2.0,3080.2,Diesel,19.02905,72.839106,20.6,0.06,4500.0,1,77.4,0.0,86.2,-0.11,Urban,High,27.3,0.091,0,69.45,6.65,32.21,excessive_revving
V001,2026-08-22T08:10:14,Van,1,2.0,3080.2,Diesel,19.0291,72.839146,20.0,-0.53,4500.0,1,71.5,0.0,75.3,0.73,Urban,High,26.5,0.097,0,69.45,6.44,32.21,excessive_revving
V001,2026-08-22T08:10:15,Van,1,2.0,3080.2,Diesel,19.02915,72.839186,20.0,-0.8,4500.0,1,76.3,0.0,70.1,0.21,Urban,High,28.9,0.102,0,69.45,6.44,32.21,excessive_revving
V001,2026-08-22T08:10:16,Van,1,2.0,3080.2,Diesel,19.029203,72.839229,21.5,0.41,4500.0,1,85.9,0.0,86.2,-1.41,Urban,High,28.2,0.108,0,69.45,6.92,32.21,excessive_revving
V001,2026-08-22T08:10:17,Van,1,2.0,3080.2,Diesel,19.029257,72.839271,21.3,-0.05,4500.0,1,83.6,0.0,86.9,-0.56,Urban,High,27.7,0.114,0,69.44,6.86,32.21,excessive_revving
V001,2026-08-22T08:10:18,Van,1,2.0,3080.2,Diesel,19.029309,72.839313,20.9,-0.13,4500.0,1,65.7,0.0,73.9,-0.66,Urban,High,30.0,0.12,0,69.44,6.72,32.21,excessive_revving
V001,2026-08-22T08:10:19,Van,1,2.0,3080.2,Diesel,19.029359,72.839353,20.0,-0.6,4500.0,1,78.9,0.0,88.7,0.95,Urban,High,27.5,0.126,0,69.44,6.44,32.21,excessive_revving
V001,2026-08-22T08:10:20,Van,1,2.0,3080.2,Diesel,19.029409,72.839393,20.0,-0.1,4500.0,1,69.7,0.0,71.4,0.86,Urban,High,28.4,0.131,0,69.44,6.44,32.21,excessive_revving
V001,2026-08-22T08:10:21,Van,1,2.0,3080.2,Diesel,19.029461,72.839435,21.0,0.29,4500.0,1,86.8,0.0,81.5,0.37,Urban,High,27.7,0.137,0,69.44,6.78,32.21,excessive_revving
V001,2026-08-22T08:10:22,Van,1,2.0,3080.2,Diesel,19.029518,72.83948,22.7,0.46,4500.0,1,77.2,0.0,89.3,-1.05,Urban,High,26.1,0.143,0,69.44,7.31,32.21,excessive_revving
V001,2026-08-22T08:10:23,Van,1,2.0,3080.2,Diesel,19.029575,72.839526,22.9,0.06,4500.0,1,89.6,0.0,89.9,-0.3,Urban,High,27.5,0.15,0,69.43,7.38,32.21,excessive_revving
V001,2026-08-22T08:10:24,Van,1,2.0,3080.2,Diesel,19.029631,72.839571,22.4,-0.14,4500.0,1,70.2,0.0,73.9,0.1,Urban,High,26.1,0.156,0,69.43,7.22,32.21,excessive_revving
V001,2026-08-22T08:10:25,Van,1,2.0,3080.2,Diesel,19.029684,72.839613,21.1,-0.38,4500.0,1,75.6,0.0,88.4,-0.18,Urban,High,30.4,0.162,0,69.43,6.79,32.21,excessive_revving
V001,2026-08-22T08:10:26,Van,1,2.0,3080.2,Diesel,19.029736,72.839655,20.8,-0.06,4500.0,1,79.0,0.0,80.4,1.87,Urban,High,28.6,0.167,0,69.43,6.72,32.21,excessive_revving
V001,2026-08-22T08:10:27,Van,1,2.0,3080.2,Diesel,19.029787,72.839695,20.2,-0.18,4500.0,1,89.0,0.0,71.2,-2.04,Urban,High,28.3,0.173,0,69.43,6.5,32.21,excessive_revving
V001,2026-08-22T08:10:28,Van,1,2.0,3080.2,Diesel,19.029837,72.839735,20.0,-0.26,4500.0,1,82.1,0.0,82.5,1.92,Urban,High,27.2,0.179,0,69.42,6.44,32.21,excessive_revving
V001,2026-08-22T08:10:29,Van,1,2.0,3080.2,Diesel,19.029891,72.839779,21.8,0.51,4500.0,1,84.2,0.0,76.7,-1.13,Urban,High,28.3,0.185,0,69.42,7.03,32.21,excessive_revving
V001,2026-08-22T08:10:30,Van,1,2.0,3080.2,Diesel,19.029942,72.83982,20.3,-0.42,4500.0,1,67.0,0.0,74.9,0.56,Urban,High,27.1,0.19,0,69.42,6.54,32.21,excessive_revving
V001,2026-08-22T08:10:31,Van,1,2.0,3080.2,Diesel,19.029995,72.839862,21.4,0.29,4500.0,1,87.4,0.0,77.6,-1.54,Urban,High,27.2,0.196,0,69.42,6.88,32.21,excessive_revving
V001,2026-08-22T08:10:32,Van,1,2.0,3080.2,Diesel,19.030049,72.839905,21.3,-0.01,4500.0,1,89.1,0.0,72.1,0.62,Urban,High,31.0,0.202,0,69.42,6.87,32.21,excessive_revving
V001,2026-08-22T08:10:33,Van,1,2.0,3080.2,Diesel,19.030104,72.839949,22.0,0.18,4500.0,1,70.2,0.0,78.3,-0.29,Urban,High,29.5,0.208,0,69.41,7.08,32.21,excessive_revving
V001,2026-08-22T08:10:34,Van,1,2.0,3080.2,Diesel,19.030157,72.839992,21.5,-0.14,4500.0,1,71.5,0.0,78.0,-0.14,Urban,High,25.6,0.214,0,69.41,6.91,32.21,excessive_revving
V001,2026-08-22T08:10:35,Van,1,2.0,3080.2,Diesel,19.030209,72.840033,20.8,-0.17,4500.0,1,70.7,0.0,79.8,1.54,Urban,High,29.4,0.22,0,69.41,6.71,32.21,excessive_revving
V001,2026-08-22T08:10:36,Van,1,2.0,3080.2,Diesel,19.030261,72.840075,20.5,-0.08,4500.0,1,69.6,0.0,86.5,0.7,Urban,High,30.1,0.226,0,69.41,6.62,32.21,excessive_revving
V001,2026-08-22T08:10:37,Van,1,2.0,3080.2,Diesel,19.030311,72.840115,20.0,-0.71,4500.0,1,79.6,0.0,75.4,-0.27,Urban,High,27.9,0.231,0,69.41,6.44,32.21,excessive_revving
V001,2026-08-22T08:10:38,Van,1,2.0,3080.2,Diesel,19.030361,72.840155,20.0,-0.55,4500.0,1,76.2,0.0,89.3,1.29,Urban,High,28.2,0.237,0,69.41,6.44,32.21,excessive_revving
V001,2026-08-22T08:10:39,Van,1,2.0,3080.2,Diesel,19.030416,72.840199,22.0,0.56,4500.0,1,73.3,0.0,78.3,-2.05,Urban,High,28.3,0.243,0,69.4,7.1,32.21,excessive_revving
V001,2026-08-22T08:10:40,Van,1,2.0,3080.2,Diesel,19.030469,72.840241,21.4,-0.19,4500.0,1,68.7,0.0,78.3,0.39,Urban,High,28.5,0.249,0,69.4,6.88,32.21,excessive_revving
V001,2026-08-22T08:10:41,Van,1,2.0,3080.2,Diesel,19.030524,72.840285,21.9,0.15,4500.0,1,66.4,0.0,78.4,-1.19,Urban,High,24.9,0.255,0,69.4,7.06,32.21,excessive_revving
V001,2026-08-22T08:10:42,Van,1,2.0,3080.2,Diesel,19.030579,72.840329,22.0,0.03,4500.0,1,74.5,0.0,71.3,0.27,Urban,High,29.5,0.261,0,69.4,7.1,32.21,excessive_revving
V001,2026-08-22T08:10:43,Van,1,2.0,3080.2,Diesel,19.030634,72.840373,21.8,-0.08,4500.0,1,70.1,0.0,80.1,0.03,Urban,High,27.3,0.267,0,69.4,7.01,32.21,excessive_revving
V001,2026-08-22T08:10:44,Van,1,2.0,3080.2,Diesel,19.030684,72.840413,20.0,-0.86,4500.0,1,79.8,0.0,84.2,1.01,Urban,High,26.8,0.273,0,69.39,6.44,32.21,excessive_revving
V001,2026-08-22T08:10:45,Van,1,2.0,3080.2,Diesel,19.03074,72.840458,22.5,0.7,4500.0,1,78.2,0.0,80.3,-0.88,Urban,High,28.1,0.279,0,69.39,7.25,32.21,excessive_revving
V001,2026-08-22T08:10:46,Van,1,2.0,3080.2,Diesel,19.030796,72.840503,22.7,0.05,4500.0,1,73.8,0.0,78.6,-0.73,Urban,High,28.6,0.285,0,69.39,7.3,32.21,excessive_revving
V001,2026-08-22T08:10:47,Van,1,2.0,3080.2,Diesel,19.030851,72.840547,21.8,-0.23,4500.0,1,66.7,0.0,87.7,0.47,Urban,High,30.3,0.291,0,69.39,7.03,32.21,excessive_revving
V001,2026-08-22T08:10:48,Van,1,2.0,3080.2,Diesel,19.030903,72.840589,20.9,-0.26,4500.0,1,84.4,0.0,89.7,0.29,Urban,High,25.2,0.297,0,69.39,6.73,32.21,excessive_revving
V001,2026-08-22T08:10:49,Van,1,2.0,3080.2,Diesel,19.030959,72.840633,22.2,0.35,4500.0,1,71.1,0.0,82.4,-0.03,Urban,High,28.6,0.303,0,69.38,7.15,32.21,excessive_revving
V001,2026-08-22T08:10:50,Van,1,2.0,3080.2,Diesel,19.031009,72.840673,20.0,-0.63,4500.0,1,81.0,0.0,86.2,-0.7,Urban,High,28.1,0.309,0,69.38,6.44,32.21,excessive_revving
V001,2026-08-22T08:10:51,Van,1,2.0,3080.2,Diesel,19.031059,72.840713,20.0,-0.0,4500.0,1,78.5,0.0,71.4,-0.43,Urban,High,27.5,0.314,0,69.38,6.44,32.21,excessive_revving
